"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2020","35 - 39 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","62.2"
"Annual employment rate","2020","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2020","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","59.8"
"Annual employment rate","2020","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","67.3"
"Annual employment rate","2020","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","86"
"Annual employment rate","2020","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","81.1"
"Annual employment rate","2020","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","85.6"
"Annual employment rate","2020","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","88.4"
"Annual employment rate","2020","35 - 39 years","Male","Tertiary education (Levels 5-8)","Ireland","%","91.9"
"Annual employment rate","2020","35 - 39 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","90.4"
"Annual employment rate","2020","35 - 39 years","Male","Tertiary education (Levels 5-8)","Southern","%","91.9"
"Annual employment rate","2020","35 - 39 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","92.4"
"Annual employment rate","2020","35 - 39 years","Male","Level of education - not stated","Ireland","%","79"
"Annual employment rate","2020","35 - 39 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","35 - 39 years","Male","Level of education - not stated","Southern","%","84"
"Annual employment rate","2020","35 - 39 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","35 - 39 years","Female","Levels of Education (Levels  0-8)","Ireland","%","70.5"
"Annual employment rate","2020","35 - 39 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","73.1"
"Annual employment rate","2020","35 - 39 years","Female","Levels of Education (Levels  0-8)","Southern","%","69.8"
"Annual employment rate","2020","35 - 39 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","70.2"
"Annual employment rate","2020","35 - 39 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","35 - 39 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","35 - 39 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","35 - 39 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","31.8"
"Annual employment rate","2020","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2020","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","37.4"
"Annual employment rate","2020","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","28.7"
"Annual employment rate","2020","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","58.1"
"Annual employment rate","2020","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","67.4"
"Annual employment rate","2020","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","56.7"
"Annual employment rate","2020","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","56.1"
"Annual employment rate","2020","35 - 39 years","Female","Tertiary education (Levels 5-8)","Ireland","%","81.7"
"Annual employment rate","2020","35 - 39 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","80.3"
"Annual employment rate","2020","35 - 39 years","Female","Tertiary education (Levels 5-8)","Southern","%","81.9"
"Annual employment rate","2020","35 - 39 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","82.1"
"Annual employment rate","2020","35 - 39 years","Female","Level of education - not stated","Ireland","%","66.4"
"Annual employment rate","2020","35 - 39 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","35 - 39 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","35 - 39 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","79.2"
"Annual employment rate","2020","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","79.3"
"Annual employment rate","2020","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","77.8"
"Annual employment rate","2020","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","80"
"Annual employment rate","2020","40 - 44 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","40 - 44 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","40 - 44 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","54.3"
"Annual employment rate","2020","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","65.9"
"Annual employment rate","2020","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","55.3"
"Annual employment rate","2020","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","49.7"
"Annual employment rate","2020","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","75.7"
"Annual employment rate","2020","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","73"
"Annual employment rate","2020","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","76.5"
"Annual employment rate","2020","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","76.1"
"Annual employment rate","2020","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","85.7"
"Annual employment rate","2020","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","86.2"
"Annual employment rate","2020","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","83.8"
"Annual employment rate","2020","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","86.6"
"Annual employment rate","2020","40 - 44 years","Both sexes","Level of education - not stated","Ireland","%","70.6"
"Annual employment rate","2020","40 - 44 years","Both sexes","Level of education - not stated","Northern and Western","%","76.3"
"Annual employment rate","2020","40 - 44 years","Both sexes","Level of education - not stated","Southern","%","67.6"
"Annual employment rate","2020","40 - 44 years","Both sexes","Level of education - not stated","Eastern and Midland","%","71.1"
"Annual employment rate","2020","40 - 44 years","Male","Levels of Education (Levels  0-8)","Ireland","%","87.1"
"Annual employment rate","2020","40 - 44 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","88.3"
"Annual employment rate","2020","40 - 44 years","Male","Levels of Education (Levels  0-8)","Southern","%","86.8"
"Annual employment rate","2020","40 - 44 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","87"
"Annual employment rate","2020","40 - 44 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","40 - 44 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","40 - 44 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","65.1"
"Annual employment rate","2020","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","74.8"
"Annual employment rate","2020","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","68.7"
"Annual employment rate","2020","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","57.3"
"Annual employment rate","2020","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","86.6"
"Annual employment rate","2020","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","86.4"
"Annual employment rate","2020","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","89.1"
"Annual employment rate","2020","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","84.8"
"Annual employment rate","2020","40 - 44 years","Male","Tertiary education (Levels 5-8)","Ireland","%","92.4"
"Annual employment rate","2020","40 - 44 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","93.5"
"Annual employment rate","2020","40 - 44 years","Male","Tertiary education (Levels 5-8)","Southern","%","91.1"
"Annual employment rate","2020","40 - 44 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","92.8"
"Annual employment rate","2020","40 - 44 years","Male","Level of education - not stated","Ireland","%","80.2"
"Annual employment rate","2020","40 - 44 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Male","Level of education - not stated","Southern","%","75.9"
"Annual employment rate","2020","40 - 44 years","Male","Level of education - not stated","Eastern and Midland","%","79.7"
"Annual employment rate","2020","40 - 44 years","Female","Levels of Education (Levels  0-8)","Ireland","%","71.5"
"Annual employment rate","2020","40 - 44 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","70.8"
"Annual employment rate","2020","40 - 44 years","Female","Levels of Education (Levels  0-8)","Southern","%","69"
"Annual employment rate","2020","40 - 44 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","73.3"
"Annual employment rate","2020","40 - 44 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","40 - 44 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","40 - 44 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","40.1"
"Annual employment rate","2020","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","33.6"
"Annual employment rate","2020","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","42.5"
"Annual employment rate","2020","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","62.5"
"Annual employment rate","2020","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","55.1"
"Annual employment rate","2020","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","61.1"
"Annual employment rate","2020","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","66"
"Annual employment rate","2020","40 - 44 years","Female","Tertiary education (Levels 5-8)","Ireland","%","80.4"
"Annual employment rate","2020","40 - 44 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","81.4"
"Annual employment rate","2020","40 - 44 years","Female","Tertiary education (Levels 5-8)","Southern","%","78.5"
"Annual employment rate","2020","40 - 44 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","81.3"
"Annual employment rate","2020","40 - 44 years","Female","Level of education - not stated","Ireland","%","57.4"
"Annual employment rate","2020","40 - 44 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","40 - 44 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","40 - 44 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","78.9"
"Annual employment rate","2020","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","79.8"
"Annual employment rate","2020","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","78.7"
"Annual employment rate","2020","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","78.8"
"Annual employment rate","2020","45 - 49 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","45 - 49 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","45 - 49 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","58.7"
"Annual employment rate","2020","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","59.8"
"Annual employment rate","2020","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","61.2"
"Annual employment rate","2020","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","56.5"
"Annual employment rate","2020","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","76"
"Annual employment rate","2020","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","77.4"
"Annual employment rate","2020","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","74.1"
"Annual employment rate","2020","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","76.9"
"Annual employment rate","2020","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","86.4"
"Annual employment rate","2020","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","87.8"
"Annual employment rate","2020","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","88.2"
"Annual employment rate","2020","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","85"
"Annual employment rate","2020","45 - 49 years","Both sexes","Level of education - not stated","Ireland","%","75.6"
"Annual employment rate","2020","45 - 49 years","Both sexes","Level of education - not stated","Northern and Western","%","72.2"
"Annual employment rate","2020","45 - 49 years","Both sexes","Level of education - not stated","Southern","%","73.5"
"Annual employment rate","2020","45 - 49 years","Both sexes","Level of education - not stated","Eastern and Midland","%","79.9"
"Annual employment rate","2020","45 - 49 years","Male","Levels of Education (Levels  0-8)","Ireland","%","86.7"
"Annual employment rate","2020","45 - 49 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","86.8"
"Annual employment rate","2020","45 - 49 years","Male","Levels of Education (Levels  0-8)","Southern","%","86.7"
"Annual employment rate","2020","45 - 49 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","86.6"
"Annual employment rate","2020","45 - 49 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","45 - 49 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","45 - 49 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","69.3"
"Annual employment rate","2020","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","73.6"
"Annual employment rate","2020","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","73"
"Annual employment rate","2020","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","64.5"
"Annual employment rate","2020","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","87"
"Annual employment rate","2020","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","88.4"
"Annual employment rate","2020","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","85.8"
"Annual employment rate","2020","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","87.5"
"Annual employment rate","2020","45 - 49 years","Male","Tertiary education (Levels 5-8)","Ireland","%","93.1"
"Annual employment rate","2020","45 - 49 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","93.3"
"Annual employment rate","2020","45 - 49 years","Male","Tertiary education (Levels 5-8)","Southern","%","94.4"
"Annual employment rate","2020","45 - 49 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","92.4"
"Annual employment rate","2020","45 - 49 years","Male","Level of education - not stated","Ireland","%","76.3"
"Annual employment rate","2020","45 - 49 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Male","Level of education - not stated","Southern","%","75.9"
"Annual employment rate","2020","45 - 49 years","Male","Level of education - not stated","Eastern and Midland","%","84.3"
"Annual employment rate","2020","45 - 49 years","Female","Levels of Education (Levels  0-8)","Ireland","%","71.3"
"Annual employment rate","2020","45 - 49 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","73.1"
"Annual employment rate","2020","45 - 49 years","Female","Levels of Education (Levels  0-8)","Southern","%","70.7"
"Annual employment rate","2020","45 - 49 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","71.1"
"Annual employment rate","2020","45 - 49 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","45 - 49 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","45 - 49 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","42.8"
"Annual employment rate","2020","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","41.9"
"Annual employment rate","2020","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","46.4"
"Annual employment rate","2020","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","64.8"
"Annual employment rate","2020","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","68.1"
"Annual employment rate","2020","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","61.3"
"Annual employment rate","2020","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","66.1"
"Annual employment rate","2020","45 - 49 years","Female","Tertiary education (Levels 5-8)","Ireland","%","80.6"
"Annual employment rate","2020","45 - 49 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","83.2"
"Annual employment rate","2020","45 - 49 years","Female","Tertiary education (Levels 5-8)","Southern","%","83.2"
"Annual employment rate","2020","45 - 49 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","78.3"
"Annual employment rate","2020","45 - 49 years","Female","Level of education - not stated","Ireland","%","74.6"
"Annual employment rate","2020","45 - 49 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","45 - 49 years","Female","Level of education - not stated","Southern","%","71"
"Annual employment rate","2020","45 - 49 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","75.2"
"Annual employment rate","2020","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","77.5"
"Annual employment rate","2020","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","73.8"
"Annual employment rate","2020","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","75.4"
"Annual employment rate","2020","50 - 54 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","58.1"
"Annual employment rate","2020","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","59.8"
"Annual employment rate","2020","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","55.7"
"Annual employment rate","2020","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","59.4"
"Annual employment rate","2020","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","72.6"
"Annual employment rate","2020","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","75.9"
"Annual employment rate","2020","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","71.3"
"Annual employment rate","2020","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","72.2"
"Annual employment rate","2020","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","85.5"
"Annual employment rate","2020","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","88.1"
"Annual employment rate","2020","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","87.2"
"Annual employment rate","2020","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","83.6"
"Annual employment rate","2020","50 - 54 years","Both sexes","Level of education - not stated","Ireland","%","66.4"
"Annual employment rate","2020","50 - 54 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Both sexes","Level of education - not stated","Southern","%","61.6"
"Annual employment rate","2020","50 - 54 years","Both sexes","Level of education - not stated","Eastern and Midland","%","71.5"
"Annual employment rate","2020","50 - 54 years","Male","Levels of Education (Levels  0-8)","Ireland","%","81.9"
"Annual employment rate","2020","50 - 54 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","83.3"
"Annual employment rate","2020","50 - 54 years","Male","Levels of Education (Levels  0-8)","Southern","%","80.1"
"Annual employment rate","2020","50 - 54 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","82.7"
"Annual employment rate","2020","50 - 54 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","50 - 54 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","50 - 54 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","69.6"
"Annual employment rate","2020","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","71.4"
"Annual employment rate","2020","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","69.2"
"Annual employment rate","2020","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","69.1"
"Annual employment rate","2020","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","82.1"
"Annual employment rate","2020","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","89.3"
"Annual employment rate","2020","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","78.9"
"Annual employment rate","2020","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","82"
"Annual employment rate","2020","50 - 54 years","Male","Tertiary education (Levels 5-8)","Ireland","%","89.4"
"Annual employment rate","2020","50 - 54 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","87.2"
"Annual employment rate","2020","50 - 54 years","Male","Tertiary education (Levels 5-8)","Southern","%","90.9"
"Annual employment rate","2020","50 - 54 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","89.3"
"Annual employment rate","2020","50 - 54 years","Male","Level of education - not stated","Ireland","%","76.8"
"Annual employment rate","2020","50 - 54 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","50 - 54 years","Male","Level of education - not stated","Eastern and Midland","%","81.7"
"Annual employment rate","2020","50 - 54 years","Female","Levels of Education (Levels  0-8)","Ireland","%","68.6"
"Annual employment rate","2020","50 - 54 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","71.7"
"Annual employment rate","2020","50 - 54 years","Female","Levels of Education (Levels  0-8)","Southern","%","67.4"
"Annual employment rate","2020","50 - 54 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","68.2"
"Annual employment rate","2020","50 - 54 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","50 - 54 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","50 - 54 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","38.7"
"Annual employment rate","2020","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","39.3"
"Annual employment rate","2020","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","30.9"
"Annual employment rate","2020","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","44.6"
"Annual employment rate","2020","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","64"
"Annual employment rate","2020","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","64.9"
"Annual employment rate","2020","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","63.4"
"Annual employment rate","2020","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","64.1"
"Annual employment rate","2020","50 - 54 years","Female","Tertiary education (Levels 5-8)","Ireland","%","82.1"
"Annual employment rate","2020","50 - 54 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","88.9"
"Annual employment rate","2020","50 - 54 years","Female","Tertiary education (Levels 5-8)","Southern","%","84.4"
"Annual employment rate","2020","50 - 54 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","78.3"
"Annual employment rate","2020","50 - 54 years","Female","Level of education - not stated","Ireland","%","54.8"
"Annual employment rate","2020","50 - 54 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","50 - 54 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","50 - 54 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","68.2"
"Annual employment rate","2020","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","67"
